month,brk,spx
2004/1/1,1,1
2004/2/1,1.055983909,1.013570135
2004/3/1,1.042574589,0.996651145
2004/4/1,1.043580288,0.981220645
2004/5/1,0.994524528,0.998023164
2004/6/1,0.993965806,1.012790204
2004/7/1,0.97496927,0.983737561
2004/8/1,0.972175662,0.986133937
2004/9/1,0.968264611,0.991903183
2004/10/1,0.941445972,1.008865291
2004/11/1,0.935300034,1.050663933
2004/12/1,0.982232652,1.080414652
2005/1/1,1.004581517,1.061180259
2005/2/1,1.007933847,1.083363148
2005/3/1,0.972175662,1.059384163
2005/4/1,0.942563415,1.043619465
2005/5/1,0.939769807,1.07725019
2005/6/1,0.933065147,1.074545031
2005/7/1,0.933065147,1.120161393
2005/8/1,0.929154095,1.109660398
2005/9/1,0.916303498,1.113824786
2005/10/1,0.959883786,1.092111164
2005/11/1,0.998882557,1.140111746
2005/12/1,0.990278243,1.131929808
2006/1/1,1,1.165256493
2006/2/1,0.969940776,1.1719284
2006/3/1,1.009610012,1.186551274
2006/4/1,0.994524528,1.206317414
2006/5/1,1.031288412,1.169982008
2006/6/1,1.024237345,1.167871684
2006/7/1,1.023578053,1.178286962
2006/8/1,1.073829478,1.204000236
2006/9/1,1.070510672,1.231095419
2006/10/1,1.17862331,1.275480883
2006/11/1,1.196781763,1.300844433
2006/12/1,1.229075874,1.310933909
2007/1/1,1.22974634,1.338064097
2007/2/1,1.186613029,1.311815006
2007/3/1,1.217901442,1.321774948
2007/4/1,1.220248072,1.385799194
2007/5/1,1.223488658,1.432805176
2007/6/1,1.223321041,1.405797797
2007/7/1,1.229187619,1.367651171
2007/8/1,1.322941111,1.385201584
2007/9/1,1.324282043,1.432035224
2007/10/1,1.480612359,1.458348882
2007/11/1,1.565538049,1.401863786
2007/12/1,1.582299698,1.378759962
2008/1/1,1.519722874,1.302273787
2008/2/1,1.564420606,1.268619423
2008/3/1,1.490669349,1.251081464
2008/4/1,1.495697843,1.317200118
2008/5/1,1.50463739,1.337111708
2008/6/1,1.349312772,1.219262749
2008/7/1,1.278913845,1.214350351
2008/8/1,1.302938876,1.233116759
2008/9/1,1.459380936,1.110561557
2008/10/1,1.290535255,0.932477794
2008/11/1,1.162141021,0.86757078
2008/12/1,1.079450218,0.869015272
2009/1/1,1.000134093,0.804132571
2009/2/1,0.878310426,0.717728729
2009/3/1,0.968823332,0.771998138
2009/4/1,1.050396692,0.854767732
2009/5/1,1.023578053,0.904731904
2009/6/1,1.005698961,0.899060338
2009/7/1,1.083919991,0.971593022
2009/8/1,1.126941558,1.007483487
2009/9/1,1.128617723,1.038260441
2009/10/1,1.106268857,1.023149806
2009/11/1,1.124147949,1.086183405
2009/12/1,1.108503743,1.101002363
2010/1/1,1.28059001,1.066701736
2010/2/1,1.338697061,1.099977203
2010/3/1,1.361045927,1.162157402
2010/4/1,1.288691474,1.184996337
2010/5/1,1.183484188,1.090842682
2010/6/1,1.340931948,1.02950343
2010/7/1,1.307408649,1.105051653
2010/8/1,1.326125824,1.055345941
2010/9/1,1.391216896,1.143734303
2010/10/1,1.333109845,1.193783907
2010/11/1,1.343166834,1.193783907
2010/12/1,1.345960443,1.266928341
2011/1/1,1.368029947,1.303266015
2011/2/1,1.467203039,1.348538498
2011/3/1,1.400156442,1.342866439
2011/4/1,1.394010504,1.387760322
2011/5/1,1.327243267,1.372197216
2011/6/1,1.297407532,1.342393504
2011/7/1,1.245949268,1.322061596
2011/8/1,1.226606325,1.2493803
2011/9/1,1.193429433,1.156663322
2011/10/1,1.306849927,1.289547074
2011/11/1,1.324170298,1.284306607
2011/12/1,1.282322047,1.289547074
2012/1/1,1.317744999,1.357907064
2012/2/1,1.317845569,1.416847167
2012/3/1,1.36216337,1.45603764
2012/4/1,1.349871494,1.452656255
2012/5/1,1.32808135,1.365416159
2012/6/1,1.396189518,1.413501875
2012/7/1,1.424125601,1.437633723
2012/8/1,1.414236228,1.473650249
2012/9/1,1.482847246,1.502985691
2012/10/1,1.447144932,1.483511332
2012/11/1,1.47408649,1.491906954
2012/12/1,1.498044474,1.494635844
2013/1/1,1.630070399,1.582289751
2013/2/1,1.70521846,1.602477803
2013/3/1,1.746340373,1.655960606
2013/4/1,1.776734831,1.695282378
2013/5/1,1.914180355,1.735307473
2013/6/1,1.884009387,1.703138723
