initial_guess,level,require_v_sum,optimiser,loss_type,constraint_strictness,loss,time
equal,nested,FALSE,SLSQP,l2,1.00E-08,7.62905256,5.216755152
reg,nested,TRUE,SLSQP,RSS,0.01,56.6656409,3.097095013
equal,single,FALSE,SLSQP,l2,0,28.46236729,0.007004261
reg,nested,FALSE,SLSQP,l2,0.01,7.501115461,2.116518736
equal,single,FALSE,SLSQP,RSS,0,810.1063518,0.006902218
reg,single,FALSE,SLSQP,RSS,1.00E-08,71.74693031,0.006093502
reg,nested,FALSE,L-BFGS-B,l2,0,7.652994965,5.185413837
equal,nested,TRUE,SLSQP,l2,0.05,8.645206725,6.774780273
equal,nested,TRUE,SLSQP,l2,1.00E-08,24.48604136,0.41414237
reg,nested,FALSE,L-BFGS-B,l2,1.00E-08,7.547643914,15.25073099
equal,nested,FALSE,SLSQP,l2,0.05,7.598807427,3.463315487
equal,nested,FALSE,SLSQP,l2,0.01,7.66425865,4.199412823
reg,nested,TRUE,SLSQP,RSS,0,58.21165774,1.913109779
reg,single,FALSE,SLSQP,RSS,1.00E-08,71.74693031,0.00605154
equal,nested,FALSE,L-BFGS-B,l2,1.00E-08,21.46601745,4.402969837
equal,single,TRUE,SLSQP,l2,1.00E-08,28.46236729,0.007162094
reg,nested,FALSE,SLSQP,l2,0.01,7.501115461,2.144955158
equal,nested,FALSE,SLSQP,l2,0.01,7.66425865,4.237270832
reg,single,TRUE,SLSQP,RSS,0,71.74693031,0.007351637
reg,nested,FALSE,Nelder-Mead,RSS,0.01,57.36416481,2.865992308
reg,single,FALSE,SLSQP,l2,0.05,8.470355973,0.006823063
equal,single,TRUE,SLSQP,l2,0.05,28.46236729,0.006895304
reg,nested,FALSE,Nelder-Mead,RSS,0,57.36416481,2.836112499
equal,nested,FALSE,L-BFGS-B,l2,0,7.540900527,12.27568603
reg,single,TRUE,SLSQP,RSS,0,71.74693031,0.007176161
equal,nested,FALSE,L-BFGS-B,l2,1.00E-08,21.46601745,4.359953403
reg,single,TRUE,SLSQP,l2,0.01,8.470355973,0.007807016
reg,nested,FALSE,L-BFGS-B,l2,0.01,7.656402788,7.599847317
equal,single,TRUE,SLSQP,l2,1.00E-08,28.46236729,0.007140398
reg,single,TRUE,SLSQP,RSS,0.01,71.74693031,0.00710988
equal,single,FALSE,SLSQP,l2,0.05,28.46236729,0.006740093
equal,nested,FALSE,L-BFGS-B,RSS,0.01,380.162874,8.194206953
equal,single,FALSE,SLSQP,l2,1.00E-08,28.46236729,0.006970167
reg,nested,FALSE,Nelder-Mead,RSS,1.00E-08,57.36416481,2.845170259
equal,single,TRUE,SLSQP,l2,0,28.46236729,0.006988049
reg,nested,FALSE,Nelder-Mead,l2,0,7.5740208,2.362679005
reg,nested,TRUE,SLSQP,l2,0.05,7.54108769,2.100645065
equal,single,TRUE,SLSQP,RSS,0,810.1063518,0.007107258
equal,single,TRUE,SLSQP,RSS,1.00E-08,810.1063518,0.007097483
reg,single,TRUE,SLSQP,l2,0.05,8.470355973,0.006937981
equal,single,FALSE,SLSQP,l2,0.05,28.46236729,0.006976128
reg,nested,FALSE,Nelder-Mead,l2,0.01,7.5740208,2.352815866
reg,nested,FALSE,SLSQP,RSS,0.05,58.14911159,0.845102787
reg,nested,TRUE,SLSQP,RSS,0.01,56.6656409,3.148244858
equal,nested,FALSE,Nelder-Mead,l2,0.05,7.659511007,3.345932484
reg,single,FALSE,SLSQP,l2,0.05,8.470355973,0.006896019
reg,single,TRUE,SLSQP,RSS,0.05,71.74693031,0.007209063
equal,nested,FALSE,SLSQP,RSS,1.00E-08,57.8798894,3.426067352
reg,single,TRUE,SLSQP,l2,0,8.470355973,0.006996155
equal,nested,TRUE,SLSQP,l2,0.05,8.645206725,6.716866732
reg,single,FALSE,SLSQP,RSS,0.05,71.74693031,0.006889582
reg,nested,FALSE,L-BFGS-B,RSS,1.00E-08,58.47858216,5.171508551
reg,nested,FALSE,L-BFGS-B,RSS,0,57.20240279,15.45335031
equal,nested,FALSE,Nelder-Mead,l2,1.00E-08,7.659511007,3.36839056
equal,nested,TRUE,SLSQP,l2,0.05,8.645206725,6.671406507
reg,single,FALSE,SLSQP,RSS,0.05,71.74693031,0.006687164
reg,nested,TRUE,SLSQP,RSS,0.05,57.8675491,1.268357515
equal,nested,TRUE,SLSQP,RSS,0.01,57.10698019,5.888926268
reg,nested,FALSE,L-BFGS-B,RSS,0,57.20240279,15.5748105
reg,nested,TRUE,SLSQP,l2,1.00E-08,7.563813219,1.941594362
equal,single,FALSE,SLSQP,RSS,0.01,810.1063518,0.006749392
reg,nested,TRUE,SLSQP,l2,0,7.56918366,3.723498106
equal,nested,TRUE,SLSQP,l2,0,7.553077746,4.672492504
equal,nested,FALSE,L-BFGS-B,l2,0,7.540900527,12.42297816
reg,single,FALSE,SLSQP,RSS,1.00E-08,71.74693031,0.006842613
reg,nested,FALSE,Nelder-Mead,RSS,0.05,57.36416481,2.846969366
reg,single,TRUE,SLSQP,RSS,1.00E-08,71.74693031,0.007041216
reg,single,TRUE,SLSQP,l2,1.00E-08,8.470355973,0.007027864
equal,nested,TRUE,SLSQP,RSS,0.05,58.53013777,2.807363749
reg,nested,FALSE,Nelder-Mead,RSS,1.00E-08,57.36416481,2.846416473
reg,nested,TRUE,SLSQP,l2,0.05,7.54108769,2.083314896
equal,nested,FALSE,L-BFGS-B,l2,0.05,21.3247176,4.025521517
reg,nested,FALSE,Nelder-Mead,l2,1.00E-08,7.5740208,2.358264446
equal,nested,FALSE,L-BFGS-B,RSS,0.05,1000000,6.404926062
equal,nested,FALSE,SLSQP,l2,1.00E-08,7.62905256,5.262913465
equal,single,FALSE,SLSQP,RSS,1.00E-08,810.1063518,0.006680727
reg,nested,TRUE,SLSQP,RSS,0.05,57.8675491,1.278618813
reg,single,FALSE,SLSQP,l2,0.01,8.470355973,0.006782293
equal,nested,FALSE,L-BFGS-B,l2,0,7.540900527,12.28434563
reg,nested,FALSE,L-BFGS-B,RSS,0,57.20240279,15.57223654
equal,nested,FALSE,SLSQP,RSS,1.00E-08,57.8798894,3.421578884
equal,single,FALSE,SLSQP,l2,0.05,28.46236729,0.006691217
equal,nested,FALSE,L-BFGS-B,l2,0.05,21.3247176,4.044766188
reg,nested,FALSE,SLSQP,l2,0,7.500923927,4.144112349
reg,nested,TRUE,SLSQP,l2,0.05,7.54108769,2.085115433
equal,nested,FALSE,SLSQP,RSS,1.00E-08,57.8798894,3.441253424
equal,nested,FALSE,L-BFGS-B,RSS,0,58.54751681,13.10325456
equal,single,TRUE,SLSQP,l2,1.00E-08,28.46236729,0.007098198
equal,single,FALSE,SLSQP,RSS,0.05,810.1063518,0.006650686
