_Co_Number,_W_Weight,_Y_treated,_Y_synthetic,_time
Alabama,0,123,116.9629998626709,1970
Arkansas,0,121,119.6200982894898,1971
Colorado,.029999999,123.5,124.9131024169922,1972
Connecticut,.079999998,124.4000015258789,124.5133992996216,1973
Delaware,0,126.6999969482422,126.4112988739014,1974
Georgia,0,127.0999984741211,126.8047998352051,1975
Idaho,0,128,128.6322998962403,1976
Illinois,0,126.4000015258789,126.9410002136231,1977
Indiana,0,126.0999984741211,126.3855987930298,1978
Iowa,0,121.9000015258789,122.9610012283325,1979
Kansas,0,120.1999969482422,120.4244007568359,1980
Kentucky,0,118.5999984741211,120.0180977783203,1981
Louisiana,0,115.4000015258789,117.0562008666992,1982
Maine,0,110.8000030517578,111.2879982757568,1983
Minnesota,0,104.8000030517578,103.901102104187,1984
Mississippi,0,102.8000030517578,103.0701993637085,1985
Missouri,0,99.69999694824219,99.39750229644775,1986
Montana,.271,97.5,99.73929777526855,1987
Nebraska,0,90.09999847412109,91.2340983505249,1988
Nevada,.186,82.40000152587891,90.13869770812988,1989
New Hampshire,.048999999,77.80000305175781,86.46010007476806,1990
New Mexico,0,68.69999694824219,81.28360022735596,1991
North Carolina,0,67.5,81.47389952850342,1992
North Dakota,0,63.40000152587891,81.33169954299927,1993
Ohio,0,58.59999847412109,81.28959829330445,1994
Oklahoma,0,56.40000152587891,79.98540057373047,1995
Pennsylvania,0,54.5,79.17730078125,1996
Rhode Island,0,53.79999923706055,80.8751000442505,1997
South Carolina,0,52.29999923706055,76.470199634552,1998
South Dakota,0,47.20000076293945,75.28480038452149,1999
Tennessee,0,41.59999847412109,68.58489999771119,2000
Texas,0,,,
Utah,.38499999,,,
Vermont,0,,,
Virginia,0,,,
West Virginia,0,,,
Wisconsin,0,,,
Wyoming,0,,,
