_Co_Number,_W_Weight,_Y_treated,_Y_synthetic,_time
Alabama,0,123,117.361399887085,1970
Arkansas,0,121,119.7563982772827,1971
Colorado,.015,123.5,124.5763026733399,1972
Connecticut,.109,124.4000015258789,124.3052993927002,1973
Delaware,0,126.6999969482422,126.415298789978,1974
Georgia,0,127.0999984741211,126.715899810791,1975
Idaho,0,128,128.4024998245239,1976
Illinois,0,126.4000015258789,126.6217004089356,1977
Indiana,0,126.0999984741211,126.0852989196777,1978
Iowa,0,121.9000015258789,122.8776011734009,1979
Kansas,0,120.1999969482422,120.1817007141113,1980
Kentucky,0,118.5999984741211,119.6466977310181,1981
Louisiana,0,115.4000015258789,116.4915008087158,1982
Maine,0,110.8000030517578,110.9972982711792,1983
Minnesota,0,104.8000030517578,103.4059023284912,1984
Mississippi,0,102.8000030517578,103.1441993179321,1985
Missouri,0,99.69999694824219,99.58670230865478,1986
Montana,.23199999,97.5,100.4231977615356,1987
Nebraska,0,90.09999847412109,91.9268984298706,1988
Nevada,.205,82.40000152587891,90.80379764556885,1989
New Hampshire,.045000002,77.80000305175781,86.97900026702879,1990
New Mexico,0,68.69999694824219,81.30860011291503,1991
North Carolina,0,67.5,81.20369955444336,1992
North Dakota,0,63.40000152587891,80.90669952392579,1993
Ohio,0,58.59999847412109,80.62049831390381,1994
Oklahoma,0,56.40000152587891,79.22570066833495,1995
Pennsylvania,0,54.5,78.46510068511962,1996
Rhode Island,0,53.79999923706055,80.02139997863769,1997
South Carolina,0,52.29999923706055,75.59789974975585,1998
South Dakota,0,47.20000076293945,74.68040056610107,1999
Tennessee,0,41.59999847412109,68.16389997863769,2000
Texas,0,,,
Utah,.39399999,,,
Vermont,0,,,
Virginia,0,,,
West Virginia,0,,,
Wisconsin,0,,,
Wyoming,0,,,
